Compound_ID,SMILES
ZINC000511905594_1,c1cc(cc(c1)Oc2ccc(cc2)NC(=O)C(=O)N3CCC(CC3)Cn4ccnn4)C(=O)N
ZINC000611095962_1,CCN1C[C@@H](Oc2c1cccc2)CN(C)C(=O)Nc3cccn(c3=O)CC(=O)OCC
ZINC000296415191_1,CC1([C@@H]([C@@H]2[C@H]1OCC2)[NH2+]CCOc3ccc(cc3)N(=O)=O)C
ZINC000018094326_1,CCN(CC(=O)Nc1ccccc1OC)C(=O)CNC(=O)c2ccc(o2)Br
ZINC001554220787_1,CN(CC1CCCC1)c2nnc(n2CCNS(=O)(=O)C)c3cc(c[nH]3)Br
ZINC001476484592_1,CN(CCOc1ccc(cc1F)S(=O)(=O)N)C(=O)Nc2ccc(nc2)OC(F)F
ZINC001742881763_1,Cc1c(c(on1)C)CN(C)c2nnc(n2CC(=O)NCC(F)(F)F)Cc3ccncc3
ZINC000483693139_1,Cc1cc(ccc1NC(=O)C(=O)N[C@H](c2ccc(cc2)F)[C@@H]3CCCO3)OCC(=O)NC
ZINC001611132008_1,CC[C@H]1[C@@H](CCN1C(=O)OC(C)(C)C)C(=O)N(CCNC(=O)OC(C)(C)C)CCO
ZINC000757061400_1,CC[C@H](c1c(noc1C)C)NC(=O)N2CCN(CC2)C3=NS(=O)(=O)c4c3cccc4
ZINC000784762508_1,CC(C)n1c(n[nH]c1=S)[C@H]2CCCN(C2)C(=O)C(=O)Nc3ccccc3C(=O)N(C)C
ZINC001798841976_1,CCc1c(c(n(n1)C)C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)c4cc(ccc4O)C)Cl
ZINC000803492233_1,CCOC(=O)N[C@@H](C(C)C)C(=O)NCC(=O)Nc1ccc(cc1)I
ZINC001357158329_1,CN(CCNC(=O)c1ccc(cc1)S(=O)(=O)C2CCC2)S(=O)(=O)c3cccs3
ZINC000742265263_1,CCOC(=O)N1CCN(CC1)S(=O)(=O)c2c(cc(c(c2F)Cl)NC(=O)C)F
ZINC000560795142_1,CCc1nnc(s1)NC(=O)[C@H](C)[C@@H](C)NC(=O)Cc2csc(n2)c3cnccn3
ZINC000484056503_1,CC(C)(C)NC(=O)C[NH+]1CCC(CC1)CNC(=O)Nc2cc(c(cc2OC)OC)OC
ZINC001794701771_1,Cc1cc[nH]c1C(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)NC(=O)COCCNC(=O)OC(C)(C)C
ZINC001808032731_1,CC(C)CNC(=O)C(=O)N1CC[C@H]([C@H]1c2cccnc2)CNC(=O)c3cccc4c3cn[nH]4
ZINC000670741653_1,C[C@H](c1ccccc1Cl)N(C)C(=O)C(=O)NCc2ccc(cc2)CS(=O)(=O)NC
ZINC001509603256_1,C[C@@H](Cn1c(nnc1N(C)C[C@@H]2CCOC2)C(=O)NC(C)C)N3CCc4c3cccc4
ZINC001667250075_1,c1cc(ccc1NC(=O)Nc2ccc(c(c2)CO)CO)S(=O)(=O)NCC(F)(F)F
ZINC001807924931_1,Cc1ncc(cn1)C(=O)N2CCCC3(C2)CCN(CC3)C(=O)CNC(=O)OC(C)(C)C
ZINC000917360942_1,C[C@H](C(=O)NC(C)C)OC(=O)c1ccc(cc1)[N-]S(=O)(=O)c2ccc3c(c2)[nH]c(=O)[nH]3
ZINC001793350621_1,Cc1ccc(c(c1)C)NCCC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)CN4CCOC4=O
ZINC000507389824_1,c1cc(ncc1Br)NC(=O)C2CCN(CC2)C(=O)c3cc(cs3)C(=O)N
ZINC000572188879_1,C[C@H]1CC[C@@H](N(C1)C(=O)Nc2ccn(n2)CC(=O)N3CCOCC3)c4ccccc4OC
ZINC001788817478_1,Cc1c(c(n[nH]1)C)C(=O)NC[C@H]2[C@H]3CN(CC[C@H]3CO2)C(=O)c4cc(oc4)[Si](C)(C)C
ZINC000510278491_1,CCN(c1c(n(c(=O)[nH]c1=O)Cc2ccccc2)N)C(=O)CN(C)c3ccc(cc3)F
ZINC001813613423_1,C[NH+]1CC(C1)C(=O)NC[C@H]2CCN([C@@H]2c3cccnc3)C(=O)CC4Cc5ccccc5C4
ZINC001797028741_1,CCCOc1ccc(cc1)C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)c4c[nH+]c5n4cccn5
ZINC000889651922_1,CC(C)(CC(=O)NC1(CCCCCC1)c2nc(on2)[C@@H]3CCCO3)C=C
ZINC001789297014_1,C[C@@H](Cn1cncn1)C(=O)NC2(CCC2)c3ccc(cc3)NC(=O)c4cc5n(n4)CCCO5
ZINC000109507554_1,CC(C)(C)OC(=O)N1CCCC[C@@H]1C(=O)NCC[C@@](c2nccn2C)(C(F)(F)F)O
ZINC000153867153_1,CC(C)CCN(CCC#N)C(=O)Nc1c(c(cs1)C2CC2)C(=O)OC
ZINC001639170284_1,CC(C)(C)NS(=O)(=O)c1cc(ccc1OC)C(=O)NC[C@H](CO)c2ccc(cc2)F
ZINC001315313686_1,C[C@@H]1COCCN1c2nnc(n2Cc3cc(c(c(c3)Cl)OC)OC)C(=O)NC(C)C
ZINC000514853806_1,Cc1c(c(=O)[nH]c(n1)C)CCC(=O)N[C@H](c2cc(cc(c2)OC)OC)c3nccn3C
ZINC000815457301_1,CN(CCC1CCCCC1)C(=O)C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)OC
